id,brokerid,clientid,institutionid,loanamount,rate,cbscore,province,city,occupancy,product,purpose,status,date
123696,27,1032,15,1500500,0.0664,639,AB,Calgary,Owner Occupied,Second Mortgage,refinance,funded,2022-09-07
123697,16,1187,4,1300500,0.0814,639,AB,Okotoks,Owner Occupied,HELOC,refinance,declined,2022-09-22
123698,27,2773,1,1230000,0.0799,639,AB,Calgary,Owner Occupied,First Mortgage,Purchase,cancelled,2022-09-26
123699,14,2798,13,560500,0.0704,639,AB,Airdrie,Owner Occupied,HELOC,refinance,declined,2022-09-29
123700,29,2525,7,460000,0.0674,639,AB,Cochrane,Owner Occupied,First Mortgage,Purchase,funded,2022-10-18
123701,14,2184,14,458000,0.0794,639,AB,Cochrane,Owner Occupied,First Mortgage,Purchase,approved,2022-11-08
123702,8,1857,2,230950,0.0794,568,AB,Cochrane,Owner Occupied,First Mortgage,Purchase,funded,2022-11-10
123703,34,2279,16,569500,0.0689,568,AB,Cochrane,Owner Occupied,First Mortgage,Purchase,declined,2022-12-14
123704,34,1427,16,395500,0.0674,578,ON,Toronto,Owner Occupied,Second Mortgage,refinance,funded,2022-12-19
123705,13,1543,17,604600,0.0664,785,ON,Toronto,Owner Occupied,Second Mortgage,refinance,cancelled,2022-12-29
123706,33,2391,4,294000,0.0794,865,ON,Toronto,Owner Occupied,First Mortgage,Purchase,approved,2022-01-06
123707,20,1104,12,239500,0.0744,584,ON,Toronto,Owner Occupied,Second Mortgage,refinance,declined,2022-01-24
123708,34,1208,13,239000,0.0754,656,ON,Scarborough,Owner Occupied,HELOC,refinance,funded,2022-02-07
123709,3,1322,16,129500,0.0814,659,ON,Scarborough,Owner Occupied,HELOC,refinance,funded,2022-04-24
123710,25,1988,17,708300,0.0734,482,ON,Scarborough,Owner Occupied,Second Mortgage,refinance,funded,2022-05-08
123711,23,2262,5,962000,0.0754,872,ON,Scarborough,Owner Occupied,First Mortgage,Purchase,cancelled,2022-05-12
123712,27,1260,13,999000,0.0744,778,ON,Hamilton,Owner Occupied,First Mortgage,Purchase,declined,2022-05-29
123713,36,2392,4,888000,0.0779,542,ON,Hamilton,Owner Occupied,HELOC,refinance,cancelled,2022-06-01
123714,21,2516,6,777000,0.0739,549,ON,Hamilton,Owner Occupied,First Mortgage,refinance,funded,2022-06-16
123715,28,2277,6,230000,0.0764,489,ON,Hamilton,Rental ,HELOC,refinance,approved,2022-07-03
123716,20,1181,18,666000,0.0734,748,ON,Oakville,Owner Occupied,HELOC,refinance,approved,2022-07-04
123717,23,2374,13,450000,0.0714,745,ON,Oakville,Owner Occupied,First Mortgage,refinance,funded,2022-07-05
123718,2,2980,11,555000,0.0689,685,ON,Oakville,Rental ,HELOC,refinance,funded,2022-07-07
123719,5,1239,14,444000,0.0794,658,ON,Milton,Owner Occupied,HELOC,refinance,funded,2022-08-01
123720,23,2586,17,333000,0.0794,689,ON,Milton,Owner Occupied,HELOC,refinance,cancelled,2022-08-04
123721,13,1155,7,205000,0.0794,487,ON,Milton,Rental ,Second Mortgage,refinance,funded,2022-08-10
123722,1,1674,16,111000,0.0684,785,ON,Georgetown,Owner Occupied,HELOC,refinance,approved,2022-08-25
123723,13,1391,9,123000,0.0794,848,ON,Georgetown,Owner Occupied,HELOC,refinance,funded,2022-08-31
123724,14,1431,9,234000,0.0754,858,ON,Waterloo,Rental ,Second Mortgage,refinance,funded,2022-09-04
123725,22,1397,10,345000,0.0684,867,ON,Waterloo,Owner Occupied,HELOC,refinance,funded,2022-10-23
123726,34,2778,17,456000,0.0694,785,ON,London,Owner Occupied,First Mortgage,refinance,funded,2022-11-02
123727,25,2422,1,567000,0.0794,598,ON,London,Rental ,First Mortgage,refinance,declined,2022-11-17
123728,17,2022,15,678000,0.0714,487,ON,Ottawa,Owner Occupied,First Mortgage,refinance,approved,2022-11-27
123729,15,1186,3,789000,0.0679,798,ON,Ottawa,Owner Occupied,Second Mortgage,refinance,cancelled,2022-12-19
123730,22,1428,15,890000,0.0769,984,ON,Ottawa,Rental ,HELOC,refinance,approved,2022-12-26
123731,9,2929,12,908000,0.0714,458,ON,London,Owner Occupied,Second Mortgage,refinance,funded,2022-01-23
123732,23,2074,8,987000,0.0664,788,ON,Guelph,Owner Occupied,Second Mortgage,refinance,funded,2022-01-25
123733,29,1817,18,876000,0.0664,548,ON,Guelph,Rental ,First Mortgage,refinance,declined,2022-01-31
123734,4,1771,3,876000,0.0789,645,ON,Guelph,Owner Occupied,First Mortgage,refinance,funded,2022-02-17
123735,30,2018,17,765000,0.0794,545,ON,Guelph,Owner Occupied,Second Mortgage,refinance,declined,2022-02-23
123736,14,2566,7,654000,0.0794,688,ON,London,Rental ,First Mortgage,refinance,funded,2022-03-09
123737,28,2279,13,543000,0.0734,479,ON,Belmont,Owner Occupied,First Mortgage,refinance,funded,2022-03-22
123738,7,1587,14,432000,0.0754,687,ON,Belmont,Owner Occupied,First Mortgage,refinance,cancelled,2022-04-21
123739,8,1514,8,321000,0.0664,678,ON,Belmont,Rental ,First Mortgage,refinance,funded,2022-04-25
123740,10,1388,12,219000,0.0789,574,ON,Niagara Falls,Owner Occupied,First Mortgage,refinance,declined,2022-04-28
123741,13,2290,11,112500,0.0714,647,ON,Niagara Falls,Owner Occupied,Second Mortgage,refinance,approved,2022-05-15
123742,31,2013,16,198000,0.0664,857,ON,Windsor,Rental ,Second Mortgage,refinance,funded,2022-05-30
123743,35,2351,16,395500,0.0679,8748,ON,Kingston,Owner Occupied,First Mortgage,refinance,approved,2022-07-12
123744,14,1167,6,125000,0.0794,848,ON,Kingston,Owner Occupied,Second Mortgage,refinance,funded,2022-07-14
123745,14,2038,16,346000,0.0744,858,ON,Kingston,Rental ,HELOC,refinance,approved,2022-08-16
123746,21,1033,5,100000,0.0754,979,BC,Kamloops,Owner Occupied,HELOC,refinance,declined,2022-09-06
123747,23,1896,8,220000,0.0749,673,ON,Peterborough,Owner Occupied,First Mortgage,refinance,declined,2022-09-13
123748,22,1481,8,350000,0.0799,451,BC,Kamloops,Rental ,First Mortgage,refinance,approved,2022-09-29
123749,26,2738,9,450000,0.0764,548,ON,Sarnia,Owner Occupied,First Mortgage,refinance,funded,2022-10-03
123750,27,2516,17,1000000,0.0654,897,ON,Sarnia,Owner Occupied,HELOC,refinance,declined,2022-10-27
123751,3,1467,11,1200000,0.0764,874,AB,Calgary,Rental ,First Mortgage,refinance,declined,2022-11-02
123752,13,2096,14,300000,0.0664,645,ON,Ingersoll,Owner Occupied,HELOC,refinance,funded,2022-11-07
123753,30,2759,3,605000,0.0724,547,BC,Victoria,Owner Occupied,First Mortgage,refinance,funded,2022-11-08
123754,17,1508,14,610000,0.0664,874,SK,Regina,Rental ,First Mortgage,refinance,approved,2022-12-01
123755,1,2280,4,515000,0.0709,800,ON,Sudbury,Owner Occupied,First Mortgage,refinance,funded,2022-12-11
123756,24,2233,15,420000,0.0789,650,ON,Sudbury,Owner Occupied,First Mortgage,refinance,funded,2022-03-15
123757,18,2566,1,450000,0.0744,870,ON,Orillia,Rental ,First Mortgage,refinance,declined,2022-03-16
123758,29,1796,13,780000,0.0809,800,BC,Qualicum Beach,Owner Occupied,First Mortgage,refinance,cancelled,2022-03-20
123759,34,1404,2,790000,0.0664,710,ON,Cornwall,Owner Occupied,HELOC,refinance,funded,2022-04-25
123760,4,1468,10,760000,0.0699,711,BC,Victoria,Rental ,First Mortgage,refinance,funded,2022-04-28
123761,15,1899,15,450000,0.0734,510,BC,Vancouver,Owner Occupied,First Mortgage,refinance,cancelled,2022-05-22
123762,25,1469,8,120000,0.0734,650,ON,Collingwood,Owner Occupied,First Mortgage,refinance,cancelled,2022-06-12
123763,27,1434,8,140000,0.0689,505,AB,Calgary,Rental ,First Mortgage,refinance,funded,2022-06-13
123764,33,1879,14,865000,0.0764,567,AB,Calgary,Owner Occupied,HELOC,refinance,declined,2022-06-15
123765,34,2306,3,730500,0.0809,598,MB,Brantford,Owner Occupied,Second Mortgage,refinance,approved,2022-06-29
123766,2,2936,16,345000,0.0764,548,BC,Vancouver,Rental ,First Mortgage,p,funded,2022-07-07
123767,26,1242,4,456500,0.0664,874,AB,Edmonton,Owner Occupied,HELOC,refinance,funded,2022-07-19
123768,30,2212,13,340950,0.0664,568,AB,Edmonton,Owner Occupied,HELOC,refinance,declined,2022-08-15
123769,17,1118,14,240950,0.0764,568,ON,Brampton,Rental ,HELOC,refinance,declined,2022-09-04
123770,2,1697,7,100000,0.0664,578,ON,Brampton,Owner Occupied,HELOC,refinance,approved,2022-09-06
123771,28,2900,10,220000,0.0794,785,ON,Brampton,Owner Occupied,First Mortgage,Purchase,funded,2022-09-18
123772,28,1395,7,350000,0.0789,648,ON,Brampton,Rental ,First Mortgage,refinance,cancelled,2022-10-18
123773,16,2925,14,450000,0.0714,586,AB,Calgary,Owner Occupied,HELOC,refinance,cancelled,2022-10-20
123774,12,2098,4,1000000,0.0724,582,AB,Calgary,Owner Occupied,HELOC,refinance,declined,2022-10-31
123775,34,2017,13,1200000,0.0774,700,AB,Edmonton,Rental ,HELOC,refinance,funded,2022-11-08
123776,35,2744,4,300000,0.0809,800,NL,St. Johns,Owner Occupied,First Mortgage,Purchase,funded,2022-11-22
123777,25,2799,9,605000,0.0669,500,BC,Langley,Owner Occupied,HELOC,refinance,approved,2022-11-29
123778,20,2368,14,670500,0.0664,600,ON,Ajax,Rental ,First Mortgage,Purchase,funded,2022-12-22
123779,2,2023,7,325100,0.0684,639,BC,Saanich,Owner Occupied,First Mortgage,Purchase,approved,2022-12-28
123780,25,2507,1,450510,0.0754,658,NL,St. Johns,Owner Occupied,HELOC,refinance,declined,2022-12-29
123781,8,2436,17,1500500,0.0664,639,ON,Brampton,Rental ,First Mortgage,refinance,declined,2022-01-02
123782,31,1256,17,1300500,0.0694,639,ON,Etobiocke,Owner Occupied,First Mortgage,refinance,declined,2022-01-09
123783,31,2884,7,1230000,0.0754,639,BC,Maple Ridge,Owner Occupied,Second Mortgage,refinance,approved,2022-02-14
123784,3,2770,2,560500,0.0664,639,AB,Edmonton,Rental ,First Mortgage,Purchase,declined,2022-02-21
123785,31,2097,3,460000,0.0764,639,AB,Edmonton,Owner Occupied,First Mortgage,Purchase,cancelled,2022-02-28
123786,27,1080,17,458000,0.0704,639,ON,Etobicoke,Owner Occupied,First Mortgage,Purchase,approved,2022-03-27
123787,24,2745,1,230950,0.0734,639,ON,Etobicoke,Rental ,First Mortgage,Purchase,cancelled,2022-04-11
123788,22,2780,7,569500,0.0699,639,AB,Calgary,Owner Occupied,HELOC,refinance,declined,2022-05-08
123789,9,2760,7,395500,0.0794,639,AB,Calgary,Owner Occupied,First Mortgage,Purchase,funded,2022-06-05
123790,31,1525,6,604600,0.0674,568,AB,Calgary,Rental ,HELOC,refinance,funded,2022-06-09
123791,26,1161,4,294000,0.0734,568,ON,Etobicoke,Owner Occupied,Second Mortgage,refinance,approved,2022-06-13
123792,15,2629,4,239500,0.0714,578,ON,Etobicoke,Owner Occupied,HELOC,refinance,funded,2022-06-15
123793,12,1142,13,239000,0.0704,785,BC,Maple Ridge,Rental ,First Mortgage,Purchase,funded,2022-06-30
123794,29,2128,5,129500,0.0654,865,ON,Newmarket,Owner Occupied,First Mortgage,Purchase,funded,2022-07-07
123795,18,2600,14,708300,0.0779,584,ON,Newmarket,Owner Occupied,First Mortgage,Purchase,approved,2022-08-18
123796,1,1159,16,962000,0.0674,656,AB,Calgary,Rental ,Second Mortgage,refinance,approved,2022-08-28
123797,12,1682,5,999000,0.0764,659,BC,Abbotsford,Owner Occupied,First Mortgage,Purchase,funded,2022-09-18
123798,28,2670,1,888000,0.0784,482,SK,Saskatoon,Owner Occupied,HELOC,refinance,cancelled,2022-10-03
123799,33,1358,14,777000,0.0774,872,ON,Ajax,Rental ,First Mortgage,Purchase,declined,2022-10-12
123800,10,2469,14,230000,0.0699,778,ON,Ajax,Owner Occupied,HELOC,refinance,approved,2022-10-20
123801,21,2056,12,666000,0.0794,542,ON,Pickering,Owner Occupied,First Mortgage,Purchase,funded,2022-10-24
123802,29,1232,13,450000,0.0714,549,PEI,Charlottetown,Rental ,First Mortgage,Purchase,cancelled,2022-11-06
123803,36,2437,7,555000,0.0724,489,BC,Surrey,Owner Occupied,First Mortgage,Purchase,funded,2022-11-23
123804,22,1073,3,444000,0.0709,748,AB,Langley,Owner Occupied,HELOC,refinance,declined,2022-12-14
123805,7,1662,15,333000,0.0699,745,AB,Calgary,Rental ,First Mortgage,refinance,funded,2022-12-20
123806,30,2809,10,205000,0.0764,685,ON,Pickering,Owner Occupied,First Mortgage,Purchase,cancelled,2022-05-16
123807,29,1242,10,111000,0.0699,658,BC,Surrey,Owner Occupied,HELOC,refinance,approved,2022-05-25
123808,2,2144,4,123000,0.0664,689,AB,Calgary,Rental ,HELOC,refinance,approved,2022-06-01
123809,10,1089,7,234000,0.0694,487,ON,Brampton,Owner Occupied,HELOC,refinance,approved,2022-06-02
123810,26,2888,7,345000,0.0664,785,ON,Toronto,Owner Occupied,HELOC,refinance,approved,2022-06-14
123811,17,1323,16,456000,0.0734,848,AB,Edmonton,Rental ,Second Mortgage,refinance,funded,2022-06-29
123812,9,1925,7,567000,0.0664,858,AB,Edmonton,Owner Occupied,First Mortgage,Purchase,cancelled,2022-06-30
123813,7,2554,6,678000,0.0759,867,BC,Surrey,Owner Occupied,Second Mortgage,refinance,declined,2022-07-05
123814,26,1156,3,789000,0.0789,785,ON,Toronto,Rental ,HELOC,refinance,declined,2022-07-06
123815,27,2569,15,890000,0.0794,598,ON,Toronto,Owner Occupied,HELOC,refinance,approved,2022-07-20
123816,12,1066,16,908000,0.0794,487,ON,Toronto,Owner Occupied,First Mortgage,refinance,approved,2022-07-21
123817,26,1854,6,987000,0.0684,798,ON,Toronto,Rental ,Second Mortgage,refinance,funded,2022-08-02
123818,8,2899,5,876000,0.0754,984,AB,Edmonton,Owner Occupied,First Mortgage,Purchase,approved,2022-08-08
123819,20,2931,8,876000,0.0724,458,AB,Edmonton,Owner Occupied,Second Mortgage,refinance,declined,2022-08-09
123820,14,2742,10,765000,0.0774,979,AB,Edmonton,Rental ,First Mortgage,Purchase,approved,2022-08-10
123821,3,1206,13,654000,0.0814,673,ON,Toronto,Owner Occupied,First Mortgage,Purchase,funded,2022-08-11
123822,30,1860,10,543000,0.0664,451,ON,Toronto,Owner Occupied,HELOC,refinance,approved,2022-08-17
123823,8,1475,6,432000,0.0664,548,ON,Toronto,Rental ,First Mortgage,Purchase,cancelled,2022-08-18
123824,10,2074,14,321000,0.0664,897,AB,Edmonton,Owner Occupied,HELOC,refinance,approved,2022-08-22
123825,29,1225,13,219000,0.0784,874,AB,Edmonton,Owner Occupied,HELOC,refinance,cancelled,2022-08-25
123826,25,1121,9,112500,0.0759,645,ON,Mississauga,Rental ,HELOC,refinance,funded,2022-09-15
123827,34,1555,3,198000,0.0694,547,AB,Edmonton,Owner Occupied,HELOC,refinance,declined,2022-09-16
123828,25,1293,2,395500,0.0699,874,BC,Surrey,Owner Occupied,HELOC,refinance,approved,2022-09-19
123829,8,1632,5,125000,0.0664,800,AB,Calgary,Rental ,First Mortgage,Purchase,approved,2022-09-20
123830,8,1629,4,346000,0.0724,650,BC,Surrey,Owner Occupied,HELOC,refinance,funded,2022-09-26
123831,3,2615,9,432000,0.0809,870,BC,Surrey,Owner Occupied,Second Mortgage,refinance,declined,2022-05-11
123832,10,2974,5,120100,0.0669,800,ON,Oakville,Rental ,First Mortgage,refinance,funded,2022-05-13
123833,1,2032,14,406600,0.0734,710,ON,Georgetown,Owner Occupied,HELOC,refinance,declined,2022-05-16
123834,10,2318,15,204900,0.0799,711,BC,Surrey,Owner Occupied,First Mortgage,Purchase,funded,2022-05-17
123835,23,2294,6,238500,0.0689,510,AB,Calgary,Rental ,First Mortgage,refinance,approved,2022-05-19
123836,15,1585,5,693500,0.0664,650,ON,Milton,Owner Occupied,First Mortgage,refinance,funded,2022-05-23
123837,8,1354,6,1120500,0.0769,505,BC,Victoria,Owner Occupied,HELOC,refinance,funded,2022-06-01
123838,4,2099,9,1320500,0.0664,567,AB,Edmonton,Rental ,First Mortgage,refinance,approved,2022-06-06
123839,15,2414,10,985500,0.0664,598,AB,Calgary,Owner Occupied,HELOC,refinance,approved,2022-06-08
123840,10,2767,13,192000,0.0724,548,AB,Calgary,Owner Occupied,HELOC,refinance,declined,2022-06-20
123841,10,2820,7,100000,0.0674,874,AB,Calgary,Rental ,HELOC,refinance,cancelled,2022-06-23
123842,21,2226,1,100000,0.0714,568,ON,Etobicoke,Rental ,HELOC,refinance,funded,2022-06-24
123843,14,2432,16,293500,0.0754,568,AB,Calgary,Rental ,HELOC,refinance,cancelled,2022-07-01
123844,25,1421,13,129500,0.0674,578,ON,Niagara Falls,Rental ,HELOC,refinance,cancelled,2022-07-05
123845,21,2015,17,496000,0.0664,785,AB,Calgary,Rental ,HELOC,refinance,funded,2022-07-12
123846,35,2564,13,394500,0.0794,648,ON,Niagara Falls,Rental ,First Mortgage,refinance,approved,2022-07-28
123847,4,2327,9,205000,0.0794,586,MB,Winnipeg,Rental ,HELOC,refinance,approved,2022-08-02
123848,21,2285,18,193500,0.0714,582,BC,Surrey,Rental ,Second Mortgage,refinance,declined,2022-08-03
123849,13,2050,13,794500,0.0734,700,BC,Vancouver,Rental ,Second Mortgage,refinance,funded,2022-08-15
123850,27,2503,15,684500,0.0744,800,ON,Oakville,Rental ,First Mortgage,Purchase,funded,2022-08-19
123851,30,2619,9,395600,0.0749,500,AB,Edmonton,Rental ,Second Mortgage,refinance,funded,2022-09-01
123852,24,1402,14,234600,0.0674,600,ON,Markham,Rental ,Second Mortgage,refinance,funded,2022-09-02
123853,12,2638,3,239500,0.0664,639,BC,Surrey,Rental ,HELOC,refinance,declined,2022-09-07
123854,27,1000,10,19100,0.0784,658,ON,Markham,Rental ,First Mortgage,Purchase,approved,2022-09-15
123855,23,1695,2,194500,0.0659,639,AB,Calgary,Rental ,Second Mortgage,refinance,approved,2022-09-23
123856,14,2394,4,795000,0.0744,639,ON,Markham,Rental ,HELOC,refinance,approved,2022-05-11
123857,24,2159,1,658000,0.0734,639,AB,Edmonton,Rental ,First Mortgage,refinance,declined,2022-05-13
123858,10,1501,3,395000,0.0684,639,ON,Markham,Rental ,First Mortgage,refinance,funded,2022-05-16
123859,13,2020,3,1009500,0.0724,639,AB,Edmonton,Rental ,First Mortgage,refinance,approved,2022-05-17
123860,5,2104,5,125500,0.0669,639,ON,Etobicoke,Rental ,HELOC,refinance,declined,2022-05-19
123861,34,2035,5,1125500,0.0764,639,ON,Toronto,Rental ,HELOC,refinance,funded,2022-05-23
123862,30,2778,3,305600,0.0684,639,BC,Langley,Rental ,First Mortgage,refinance,declined,2022-06-01
123863,14,2306,4,395700,0.0774,639,ON,Scarborough,Rental ,First Mortgage,Purchase,funded,2022-06-06
123864,35,2979,2,128300,0.0774,568,AB,Edmonton,Rental ,Second Mortgage,refinance,approved,2022-06-08
123865,18,1741,5,608500,0.0704,568,NS,Halifax,Rental ,HELOC,refinance,funded,2022-06-20
123866,28,1698,6,789000,0.0814,578,BC,Coquitlam,Rental ,First Mortgage,Purchase,approved,2022-06-23
123867,24,1921,4,608500,0.0764,785,BC,Vancouver,Rental ,Second Mortgage,refinance,funded,2022-06-24
123868,16,2491,5,555000,0.0784,865,BC,Burnaby,Rental ,Second Mortgage,refinance,funded,2022-07-01
123869,1,1799,1,555000,0.0764,584,BC,Surrey,Rental ,HELOC,refinance,funded,2022-07-05
123870,23,2417,4,239000,0.0774,656,BC,Surrey,Rental ,Second Mortgage,refinance,funded,2022-07-12
123871,31,1252,1,876000,0.0664,659,AB,Edmonton,Rental ,First Mortgage,Purchase,approved,2022-07-28
123872,25,1517,3,730500,0.0794,482,BC,Vancouver,Rental ,First Mortgage,Purchase,funded,2022-08-02
123873,34,1778,5,300000,0.0809,872,BC,Vancouver,Rental ,First Mortgage,refinance,approved,2022-08-03
123874,12,2602,1,220000,0.0794,778,ON,Scarborough,Rental ,HELOC,refinance,funded,2022-08-15
123875,2,1986,5,220000,0.0744,542,AB,Calgary,Owner Occupied,First Mortgage,refinance,declined,2022-08-19
123876,25,1603,2,128300,0.0744,549,ON,North York,Owner Occupied,Second Mortgage,refinance,funded,2022-09-01
123877,1,1134,6,678000,0.0794,489,BC,Courtenay,Rental ,HELOC,refinance,approved,2022-09-02
123878,1,1714,1,240950,0.0784,748,BC,Abbotsford,Owner Occupied,First Mortgage,refinance,funded,2022-09-07
123879,4,1845,4,1200000,0.0794,745,BC,Kamloops,Owner Occupied,HELOC,refinance,approved,2022-09-15
123880,4,1743,4,394500,0.0704,685,AB,Calgary,Rental ,Second Mortgage,refinance,funded,2022-09-23
123881,29,2788,4,1200000,0.0684,658,BC,Kelowna,Rental ,First Mortgage,Purchase,funded,2022-05-17
123882,34,2576,4,987000,0.0794,689,ON,North York,Rental ,HELOC,refinance,funded,2022-05-19
123883,27,1007,6,460000,0.0689,487,AB,Calgary,Rental ,First Mortgage,Purchase,declined,2022-05-26
123884,20,1333,5,666000,0.0764,785,ON,North York,Rental ,HELOC,refinance,declined,2022-05-30
123885,7,1576,5,789000,0.0809,848,ON,North York,Owner Occupied,First Mortgage,refinance,funded,2022-06-01
123886,5,1415,1,395000,0.0719,858,AB,Calgary,Owner Occupied,HELOC,refinance,funded,2022-06-03
123887,3,2520,5,350000,0.0684,867,ON,Oshawa,Rental ,HELOC,refinance,funded,2022-06-23
123888,2,2591,4,420000,0.0664,785,ON,Oshawa,Owner Occupied,Second Mortgage,refinance,approved,2022-06-24
123889,27,2581,2,515000,0.0799,598,AB,Calgary,Owner Occupied,HELOC,refinance,funded,2022-06-29
123890,16,1717,6,345000,0.0794,487,ON,Oshawa,Rental ,HELOC,refinance,funded,2022-07-07
123891,22,1078,4,239500,0.0764,798,AB,Calgary,Rental ,First Mortgage,Purchase,funded,2022-07-08
123892,23,2270,3,1000000,0.0699,984,ON,Oshawa,Rental ,First Mortgage,Purchase,funded,2022-07-19
123893,14,1343,1,406600,0.0714,458,ON,Toronto,Rental ,First Mortgage,refinance,approved,2022-07-21
123894,23,2115,1,230000,0.0734,788,AB,Calgary,Owner Occupied,First Mortgage,refinance,funded,2022-07-26
123895,7,1455,4,346000,0.0664,548,ON,Georgetown,Owner Occupied,First Mortgage,refinance,funded,2022-08-12
123896,8,2035,6,730500,0.0769,645,BC,Langley,Owner Occupied,First Mortgage,refinance,cancelled,2022-08-18
123897,3,1533,1,456000,0.0794,545,BC,Surrey,Owner Occupied,First Mortgage,refinance,declined,2022-08-19
123898,31,1997,4,340950,0.0669,688,ON,Ingersoll,Owner Occupied,HELOC,refinance,funded,2022-08-22
123899,23,1729,3,111000,0.0774,479,AB,Calgary,Owner Occupied,HELOC,refinance,funded,2022-08-23
123900,2,2221,2,194500,0.0724,687,ON,Oakville,Owner Occupied,First Mortgage,refinance,funded,2022-08-29
123901,27,1395,5,876000,0.0814,678,BC,Maple Ridge,Owner Occupied,First Mortgage,Purchase,funded,2022-09-05
123902,29,2014,2,460000,0.0774,574,BC,Maple Ridge,Owner Occupied,HELOC,refinance,declined,2022-09-14
123903,21,2849,6,760000,0.0659,647,ON,Kingston,Owner Occupied,Second Mortgage,refinance,declined,2022-09-16
123904,16,2295,5,1500500,0.0759,857,BC,Maple Ridge,Owner Occupied,First Mortgage,Purchase,approved,2022-09-20
123905,1,1773,2,239000,0.0674,848,AB,Edmonton,Owner Occupied,Second Mortgage,refinance,cancelled,2022-09-21
123906,29,2788,4,456500,0.0689,848,AB,Edmonton,Owner Occupied,First Mortgage,Purchase,funded,2022-05-17
123907,32,1834,4,129500,0.0719,858,BC,Victoria,Owner Occupied,First Mortgage,Purchase,declined,2022-05-19
123908,14,1550,3,865000,0.0689,858,AB,Edmonton,Owner Occupied,HELOC,refinance,cancelled,2022-05-26
123909,36,2882,1,708300,0.0809,650,ON,Windsor,Owner Occupied,Second Mortgage,refinance,funded,2022-05-30
123910,20,1399,4,450000,0.0714,785,PEI,Charlottetown,Owner Occupied,First Mortgage,Purchase,funded,2022-06-01
123911,18,1044,1,230950,0.0794,479,AB,Edmonton,Owner Occupied,Second Mortgage,refinance,cancelled,2022-06-03
123912,4,1309,3,890000,0.0704,785,AB,Edmonton,Owner Occupied,First Mortgage,Purchase,cancelled,2022-06-23
123913,5,1884,1,420000,0.0684,785,AB,Edmonton,Owner Occupied,Second Mortgage,refinance,funded,2022-06-24
123914,31,1768,3,876000,0.0759,785,ON,Hamilton,Owner Occupied,First Mortgage,refinance,declined,2022-06-29
123915,32,1292,1,100000,0.0674,548,AB,Calgary,Rental ,First Mortgage,Purchase,approved,2022-07-07
123916,15,1800,4,240950,0.0659,542,BC,Langford,Owner Occupied,HELOC,refinance,funded,2022-07-08
123917,4,1991,5,240950,0.0664,584,ON,Stoney Creek,Owner Occupied,First Mortgage,refinance,funded,2022-07-19
123918,24,2310,4,1230000,0.0734,785,ON,Stoney Creek,Rental ,Second Mortgage,refinance,declined,2022-07-21
123919,8,2033,5,890000,0.0714,8748,ON,Stoney Creek,Owner Occupied,First Mortgage,Purchase,declined,2022-07-26
123920,35,1854,4,120100,0.0759,700,ON,Stoney Creek,Owner Occupied,HELOC,refinance,approved,2022-08-12
123921,30,1744,5,125000,0.0754,547,ON,Stoney Creek,Rental ,First Mortgage,Purchase,funded,2022-08-18
123922,26,1521,1,1009500,0.0654,639,AB,Calgary,Owner Occupied,HELOC,refinance,cancelled,2022-08-19
123923,22,1913,5,450000,0.0794,568,ON,Toronto,Owner Occupied,Second Mortgage,refinance,cancelled,2022-08-22
123924,28,1199,2,777000,0.0674,451,AB,Calgary,Rental ,First Mortgage,refinance,declined,2022-08-23
123925,2,1808,5,395500,0.0664,639,AB,Calgary,Owner Occupied,First Mortgage,Purchase,funded,2022-08-29
123926,19,2753,4,345000,0.0734,582,AB,Calgary,Owner Occupied,First Mortgage,Purchase,funded,2022-09-05
123927,36,1438,6,777000,0.0689,688,BC,Victoria,Rental ,HELOC,refinance,approved,2022-09-14
123928,6,1639,3,350000,0.0814,600,BC,Langford,Owner Occupied,HELOC,refinance,funded,2022-09-16
123929,16,2119,5,234600,0.0664,578,ON,Brampton,Owner Occupied,Second Mortgage,refinance,approved,2022-09-20
123930,7,2473,5,100000,0.0664,785,ON,Oakville,Rental ,Second Mortgage,refinance,declined,2022-09-21
123931,34,2777,2,458000,0.0699,639,ON,Mississauga,Owner Occupied,HELOC,refinance,declined,2022-05-10
123932,2,2986,5,605000,0.0809,778,BC,Langley,Owner Occupied,First Mortgage,refinance,declined,2022-05-20
123933,26,2944,4,450000,0.0704,639,BC,Port Alberni,Owner Occupied,First Mortgage,refinance,approved,2022-05-24
123934,17,1116,1,1500500,0.0664,489,AB,Edmonton,Owner Occupied,First Mortgage,refinance,declined,2022-05-25
123935,7,1696,4,458000,0.0664,568,ON,Milton,Owner Occupied,First Mortgage,Purchase,cancelled,2022-05-30
123936,31,2432,5,560500,0.0809,567,BC,Port Alberni,Owner Occupied,HELOC,Purchase,approved,2022-05-31
123937,9,1565,1,780000,0.0764,598,ON,Hamilton,Owner Occupied,First Mortgage,Purchase,cancelled,2022-06-02
123938,12,1409,6,220000,0.0764,745,BC,Richmond,Owner Occupied,First Mortgage,Purchase,declined,2022-06-17
123939,23,3001,5,515000,0.0664,984,AB,Edmonton,Owner Occupied,First Mortgage,refinance,funded,2022-06-20
123940,29,1428,5,605000,0.0704,547,BC,Richmond,Owner Occupied,First Mortgage,refinance,funded,2022-06-21
123941,6,2781,3,234600,0.0714,639,ON,Hamilton,Owner Occupied,HELOC,refinance,approved,2022-06-28
123942,8,2136,4,293500,0.0789,800,ON,Hamilton,Owner Occupied,First Mortgage,Purchase,funded,2022-07-05
